Receipt,TransactionDate,BeginHour,EAN,Quantity,PersonAgeGrp,KCustomer,QualClass,EasyClass,CustomerID
14727261,2017-01-01,19,5201309608071,2.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,6413605055698,1.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,6408640995924,2.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,6410405046420,2.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,7310532106563,1.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,6415600503655,1.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,6408640969185,1.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,2000973900008,12.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,6408641799569,1.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,3574660467796,1.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,5053990101870,2.0,18-24,6711,Q_1-3,E_1-3,0
14727261,2017-01-01,19,4084500158603,1.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6415131413713,3.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6415131403936,1.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6437005074899,1.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6409100050610,1.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6411401071577,1.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,4002359002304,2.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6431000071020,1.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6412000084470,2.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6411401071560,1.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6424908461611,1.0,18-24,6711,Q_1-3,E_1-3,0
17914613,2017-01-02,20,6417808290733,1.0,18-24,6711,Q_1-3,E_1-3,0
